Transect,Quadrat,Distance_on_transect,Day_surveyed,Month_surveyed,Year_surveyed,Acrosiphonia_coalita,Alaria_marginata,Antithamnionella_pacifica,Bossiella_sp.,Calliarthron_regenerans,Caloplaca,Cryptosiphonia_woodii,Desmarestia_viridis,Egregia_menziesii,Endocladia_muricata,Fucus_distichus,Halosaccion_glandiforme,Goniomophyllum scottsbergii,Hildenbrandia_sp.,Hymanena_sp.,Leathesia_marina,Lithothamnion_sp.,Mastocarpus_papillatus,Mazzaella_splendens,Microcladia_coulteri,Neorhodomela_sp.,Odonthalia_floccosa,Petrocelis,Phyllospadix_scouleri,Polysiphonia_collinsii,Porphyra_norrisii,Prasiola_meridionalis,Prionitis_lyalii,Pterosiphonia_bipinnata,Pyropia_sp.,Ralfsia_ pacifica,Saccharina_sessilis,Sargassum_muticum,Ulva_sp.
6,18,18,15,5,2018,0,0,NA,0,NA,NA,0,0,0,0.2075,0.645,0,NA,0,0,0,0,0,0,0,0,0,0.005,0,NA,NA,NA,0,0,0,0,0,0,0
6,20,20,15,5,2018,0,0,NA,0,NA,NA,0,0,0,0.1745,0.2875,0,NA,0,0,0,0,0.0125,0,0,0,0,0.07,0,NA,NA,NA,0,0,0,0,0,0,0
6,16,16,15,5,2018,0,0,NA,0.0275,NA,NA,0,0,0,0,0.0475,0,NA,0,0,0,0.015,0.0025,0,0,0,0,0,0,NA,NA,NA,0,0.035,0,0,0,0,0.0025
6,16,16,4,5,2018,0,0,NA,0.05,NA,NA,0,0,0,0,0.12,0.01,NA,0,0,0.0075,0.28,0,0,0.01,0,0,0.1,0,NA,NA,NA,0,0.07,0,0,0,0,0.01
6,25,25,4,5,2018,0,0,NA,0,NA,NA,0,0,0,0.04,0.0265,0,NA,0,0,0,0,0,0,0,0.02,0,0.03,0,NA,NA,NA,0,0.35,0,0.011,0,0,0
6,7,7,4,5,2018,0.01,0.005,NA,0.02,NA,NA,0,0,0,0,0,0,NA,0,0,0,0.02,0,0,0,0,0,0.2,0,NA,NA,NA,0,0,0,0,0.13,0,0.02
6,2,2,4,5,2018,0,0,NA,0.03,NA,NA,0,0,0,0,0,0,NA,0,0,0,0.03,0,0,0,0.011,0,0.1,0,NA,NA,NA,0,0.155,0,0,0,0,0.0025
6,9,9,4,5,2018,0.005,0,NA,0.01,NA,NA,0,0.001,0,0,0.07,0,NA,0,0,0,0,0,0,0.01,0,0.03,0.15,0,NA,NA,NA,0,0.24,0,0,0,0,0.075
3,5,5,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0,0.151,0,NA,0,0,0,0.02,0.025,0,0,0,0.1475,0,0,NA,NA,NA,0,0,0,0,0,0,0
3,18,18,16,5,2018,0.001,0,NA,0,NA,NA,0,0,0,0,0.08,0,NA,0,0,0.016,0,0,0,0,0,0.01,0,0,NA,NA,NA,0,0.06,0.035,0,0,0,0.002
3,21,21,16,5,2018,0,0,NA,0.01,NA,NA,0,0,0,0,0.021,0,NA,0,0,0,0.001,0.0025,0,0,0,0,0,0,NA,NA,NA,0,0.32,0,0,0,0,0.06
3,19,19,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0,0.0415,0,NA,0,0,0,0,0,0,0,0.09,0.01,0,0,NA,NA,NA,0,0.015,0.0025,0,0,0,0.02
3,16,16,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0,0.095,0,NA,0,0,0,0,0.0025,0,0,0,0,0,0,NA,NA,NA,0,0.02,0.013,0,0,0,0
3,10,10,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0,0.2375,0,NA,0,0,0,0,0,0,0,0,0,0.4,0,NA,NA,NA,0,0,0,0,0,0,0
3,7,7,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0.09,0.02,0,NA,0,0,0,0,0.0485,0,0,0,0.005,0,0,NA,NA,NA,0,0,0,0,0,0,0
3,8,8,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0.02,0.155,0,NA,0,0,0.006,0,0.0025,0,0,0,0.025,0,0,NA,NA,NA,0,0.001,0,0,0,0,0
3,15,15,18,5,2018,0,0,NA,0.035,NA,NA,0,0,0,0,0.0175,0,NA,0,0,0.005,0.09,0,0,0,0.22,0.09,0,0,NA,NA,NA,0,0.055,0.04,0,0,0,0.01
3,3,3,18,5,2018,0,0,NA,0,NA,NA,0,0,0,0,0.01,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0.15,0,0,0,0
1,30,30,18,5,2018,0,0,NA,0.01,NA,NA,0,0,0,0,0.22,0.002,NA,0,0,0.001,0,0.01,0,0,0,0,0,0,NA,NA,NA,0,0.025,0.03,0,0,0,0.001
1,21,21,18,5,2018,0,0,NA,0.21,NA,NA,0,0,0,0,0.145,0.02,NA,0,0,0.005,0.135,0.0025,0,0,0,0,0,0,NA,NA,NA,0,0.07,0,0,0,0,0
1,13,13,18,5,2018,0,0,NA,0,NA,NA,0,0,0,0.1375,0.7575,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0
1,8,8,18,5,2018,0,0,NA,0,NA,NA,0,0,0,0.205,0.22,0,NA,0,0,0,0,0.03,0,0,0,0,0.16,0,NA,NA,NA,0,0,0,0,0,0,0
1,32,32,18,5,2018,0.0025,0,NA,0,NA,NA,0,0,0,0,0.34,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0.035,0,0,0,0,0.005
1,24,24,18,5,2018,0,0,NA,0.03,NA,NA,0,0,0,0,0.145,0,NA,0,0,0.0025,0,0,0,0.06,0,0,0,0,NA,NA,NA,0,0.015,0,0,0,0,0.001
1,35,35,18,5,2018,0,0,NA,0.0325,NA,NA,0,0,0,0,0,0,NA,0,0,0,0.075,0,0,0,0,0.02,0,0,NA,NA,NA,0,0.12,0,0,0.005,0,0.015
1,38,38,18,5,2018,0,0,NA,0.005,NA,NA,0,0.02,0,0,0,0,NA,0,0.07,0,0.09,0,0,0,0,0.08,0,0,NA,NA,NA,0,0.02,0,0,0.12,0,0.035
1,42,42,18,5,2018,0,0,NA,0.02,NA,NA,0.41,0,0.02,0,0,0,NA,0,0,0,0.14,0,0.02,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0.16
1,34,34,18,5,2018,0,0,NA,0.04,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0.01
1,0,0,NA,NA,1973,0,0,0,0,0.05,0,0,0,NA,0,0,NA,0,0,0,0,0.9,0,NA,0,NA,0.75,0,NA,0.05,0,0,0,0,NA,0,0,NA,0
1,2,2,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0.1,0,NA,0.05,NA,0.25,0,NA,0,0,0,0,0,NA,0,0.25,NA,0
1,4,4,NA,NA,1973,0,0,0,0,0.05,0,0,0,NA,0,0,NA,0,0,0,0,0.4,0,NA,0,NA,0,0,NA,0.14,0,0,0,0,NA,0,0.05,NA,0.2
1,5,5,NA,NA,1973,0,0,0,0.1,0,0,0,0,NA,0,0,NA,0,0,0,0,0.05,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0.25,NA,0
1,9,9,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0.2,NA,0
1,12,12,NA,NA,1973,0,0,0,0.1,0.1,0,0,0,NA,0,0.2,NA,0,0,0,0,0.1,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0.3,NA,0
1,13,13,NA,NA,1973,0,0,0,0.05,0.01,0,0,0,NA,0,0,NA,0,0,0,0,0.5,0,NA,0,NA,0,0.3,NA,0,0,0,0,0,NA,0,0.75,NA,0
1,14,14,NA,NA,1973,0,0,0,0.05,0,0,0,0,NA,0,0.05,NA,0,0,0,0.01,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0.05,NA,0
1,14,14,NA,NA,1973,0,0,0,0.05,0,0,0,0,NA,0,0.05,NA,0,0,0,0.01,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0.05,NA,0
1,15,15,NA,NA,1973,0,0,0,0.1,0,0,0,0,NA,0,0,NA,0,0,0,0,0.5,0,NA,0,NA,0.25,0,NA,0,0,0,0,0,NA,0,0.5,NA,0
1,16,16,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0.15,0,0,0,NA,0,0.2,NA,0.1
1,16,16,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0.15,0,0,0,NA,0,0.2,NA,0.1
1,23,23,NA,NA,1973,0.05,0,0,0.05,0,0,0,0,NA,0,0.05,NA,0,0,0,0.05,0,0,NA,0,NA,0,0,NA,0,0.15,0,0,0,NA,0,0,NA,0.05
1,25,25,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
1,27,27,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
1,27,27,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
1,33,33,NA,NA,1973,0,0,0,0.15,0,0,0.5,0,NA,0,0,NA,0,0,0,0,0.25,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0.4,0,NA,0
1,34,34,NA,NA,1973,0,0,0,0.1,0,0,0.05,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0.05,0,NA,0.6,0,NA,0
1,36,36,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
1,40,40,NA,NA,1973,0,0,0,0,0,0,0.1,0,NA,0.05,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
2,0,0,NA,NA,1973,0,0,0,0,0.01,0,0,0.01,NA,0,0,NA,0,0,0,0,0.75,0,NA,0,NA,0.25,0,NA,0,0,0,0.03,0.6,NA,0,0,NA,0.03
2,8,8,NA,NA,1973,0,0,0,0.05,0,0,0,0,NA,0,0.1,NA,0,0,0,0,0.1,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0.5,NA,0
2,11,11,NA,NA,1973,0.05,0,0,0.03,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0.05,0,0,0,0,NA,0,0.05,NA,0.03
2,15,15,NA,NA,1973,0,0,0,0.05,0,0,0,0,NA,0,0,NA,0,0,0.25,0,0.75,0,NA,0,NA,0.1,0,NA,0,0,0,0,0,NA,0,0,NA,0
2,28,28,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0.02,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0.75,0,NA,0
2,29,29,NA,NA,1973,0,0,0,0.05,0,0,0,0,NA,0.03,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0.2,0,NA,0
2,33,33,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0.01,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
2,37,37,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0.4,0,NA,0,0,0,0,0,0.02,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
2,40,40,NA,NA,1973,0,0,0,0,0,0,0.1,0,NA,0.1,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
2,46,46,NA,NA,1973,0,0,0,0,0,0.01,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
3,6,6,NA,NA,1973,0.02,0,0,0.07,0,0,0,0,NA,0,0.17,NA,0,0,0,0.01,0.07,0,NA,0,NA,0,0,NA,0,0.3,0,0,0.05,NA,0,0,NA,0.06
3,6,6,NA,NA,1973,0.02,0,0,0.07,0,0,0,0,NA,0,0.17,NA,0,0,0,0.01,0.07,0,NA,0,NA,0,0,NA,0,0.3,0,0,0.05,NA,0,0,NA,0.06
3,11,11,NA,NA,1973,0,0,0,0.01,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0.2,NA,0,0.03,0,0,0,NA,0,0,NA,0
3,21,21,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0.01,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
3,24,24,NA,NA,1973,0,0,0,0.01,0,0,0,0,NA,0.01,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
3,27,27,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0.25,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
3,30,30,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0.05,0.3,0,0,NA,0,0,NA,0
3,31,31,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0.5,0,0,NA,0,0,NA,0
3,31,31,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0.5,0,0,NA,0,0,NA,0
3,33,33,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
4,4,4,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0.01,NA,0,0,0,0,0,0,NA,0,NA,0,0.04,NA,0,0,0,0,0,NA,0,0,NA,0
4,4,4,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0.01,NA,0,0,0,0,0,0,NA,0,NA,0,0.04,NA,0,0,0,0,0,NA,0,0,NA,0
4,5,5,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0.05,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
4,7,7,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0.01,NA,0,0,0,0,0,NA,0,0,NA,0
4,17,17,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
4,26,26,NA,NA,1973,0,0,0.05,0.02,0,0,0.03,0,NA,0.03,0,NA,0,0,0,0,0,0,NA,0.02,NA,0,0,NA,0,0,0,0,0,NA,0.1,0,NA,0
4,30,30,NA,NA,1973,0,0,0,0,0,0,0.4,0,NA,0.1,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
4,31,31,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
4,34,34,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
4,35,35,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
5,3,3,NA,NA,1973,0.02,0.01,0,0.25,0.25,0,0,0,NA,0,0,NA,0,0,0,0,0.5,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0.2,NA,0.25
5,5,5,NA,NA,1973,0,0,0,0,0.1,0,0,0,NA,0,0,NA,0,0.05,0,0,0.01,0,NA,0,NA,0,0.1,NA,0,0,0,0,0,NA,0,0.75,NA,0
5,7,7,NA,NA,1973,0.02,0,0,0,0,0,0.01,0,NA,0,0.15,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0.02,0,0,0.02,NA,0,0,NA,0.05
5,10,10,NA,NA,1973,0,0,0,0.25,0,0,0,0,NA,0,0,NA,0,0,0,0,0.6,0,NA,0.03,NA,0,0,NA,0,0,0,0,0,NA,0,0.5,NA,0.04
5,13,13,NA,NA,1973,0,0,0,0.1,0,0,0,0,NA,0,0,NA,0,0,0,0,0.2,0,NA,0.35,NA,0,0,NA,0,0,0,0,0,NA,0,0.15,NA,0.25
5,21,21,NA,NA,1973,0,0,0,0.05,0,0,0,0,NA,0.02,0.01,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0.3,0,NA,0
5,23,23,NA,NA,1973,0,0,0,0.1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
5,27,27,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0.15,0,NA,0,0,0,0,0,0,NA,0,NA,0,0.1,NA,0,0,0,0,0,NA,0.15,0,NA,0
5,31,31,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0.25,0,0,0,NA,0,0,NA,0
5,31,31,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0.25,0,0,0,NA,0,0,NA,0
6,2,2,NA,NA,1973,0,0,0,0.1,0.2,0,0,0,NA,0,0,NA,0.03,0,0.05,0,0.8,0,NA,0.01,NA,0.7,0,NA,0.02,0,0,0.1,0,NA,0,0.1,NA,0.1
6,2,2,NA,NA,1973,0,0,0,0.1,0.2,0,0,0,NA,0,0,NA,0.03,0,0.05,0,0.8,0,NA,0.01,NA,0.7,0,NA,0.02,0,0,0.1,0,NA,0,0.1,NA,0.1
6,3,3,NA,NA,1973,0.01,0,0,0.2,0.03,0,0,0,NA,0,0,NA,0,0,0.01,0,0.5,0,NA,0.02,NA,0.1,0,NA,0.01,0,0,0.01,0,NA,0,0.25,NA,0.02
6,8,8,NA,NA,1973,0.02,0,0,0.04,0.05,0,0,0,NA,0,0,NA,0,0.02,0,0,0.03,0,NA,0,NA,0.02,0,NA,0,0,0,0,0.02,NA,0,0.4,NA,0.01
6,9,9,NA,NA,1973,0,0.01,0,0.1,0.02,0,0,0,NA,0,0,NA,0,0.01,0,0,0.2,0,NA,0,NA,0.01,0,NA,0,0,0,0,0,NA,0,0.3,NA,0.01
6,14,14,NA,NA,1973,0,0,0,0.05,0,0,0.01,0,NA,0,0,NA,0,0,0,0.01,0.05,0,NA,0.01,NA,0,0,NA,0,0,0,0,0.05,NA,0.04,0,NA,0
6,17,17,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0.01,0.02,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
6,18,18,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0.01,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
6,21,21,NA,NA,1973,0,0,0,0,0,0,0,0,NA,0.01,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
6,30,30,NA,NA,1973,0,0,0,0,0,0.1,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0
